NSID,W1GrssyrMP,W1yschat1,W1wrk1aMP,W1condur5MP,W1hea2MP,W1NoldBroHS,W1InCarHH,W1hous12HH,W1usevcHH,W1hiqualdad,W1wrkfulldad,W1wrkfullmum,W1empsdad,W1ch0_2HH,W1ch3_11HH,W1ch12_15HH,W1ch16_17HH,W1IndSchool,W1marstatmum,W1famtyp2,W1nssecfam,W1ethgrpYP,W1heposs9YP,W1hwndayYP,W1truantYP,W1alceverYP,W1bulrc,W1disabYP,W2ghq12scr,W2disc1YP,W2depressYP,W6JobYP,W6UnivYP,W6EducYP,W6Apprent1YP,W6acqno,W6gcse,W6als,W6OwnchiDV,W6DebtattYP,W8DDEGP,W8DGHQSC,W8DMARSTAT,W8DACTIVITYC,W8DWRK,W8CMSEX,W8TENURE,W8QMAFI,W8GROW
NS13504T,24600,43,1,1,2,0,1,2,1,-98,-98,-98,-98,1,1,1,0,0,-98,0,2,7,1,3,2,2,2,3,0,2,1,2,2,1,2,9,4,4,2,13,1,0,1,1,1,1,5,1,383.37
NS19988M,-999,38,1,1,2,3,1,1,1,20,1,3,1,0,2,2,0,0,2,0,4,5,2,4,2,2,2,3,0,2,1,2,2,2,2,1,4,4,2,11,1,0,2,1,1,2,5,3,383.37
NS19910R,-91,38,10,1,2,2,1,1,1,20,3,3,6,0,0,2,1,0,2,0,7,4,2,5,2,2,2,3,4,-1,3,2,2,2,2,3,4,1,2,11,1,4,1,1,1,2,7,1,383.83
NS14714N,-91,44,7,2,1,0,2,-91,2,-98,-98,3,-98,0,0,1,0,0,1,1,7,6,1,4,2,2,2,3,2,-92,3,1,1,-91,-91,1,4,4,2,9,1,10,1,1,1,2,4,5,384.06
NS10854L,8636.16,46,10,1,2,1,1,6,1,-98,-98,3,-98,0,1,1,0,0,1,1,6,1,2,3,2,2,2,3,0,2,1,2,1,-91,-91,1,4,4,2,13,1,0,1,1,1,2,7,1,384.5
NS19517Q,-91,38,6,1,2,4,1,5,2,-98,-98,3,-98,1,4,1,1,0,4,1,8,6,3,5,2,1,2,3,5,2,4,1,2,1,2,3,4,1,2,14,0,4,1,1,1,2,4,2,384.53
NS17400V,-999,36,2,1,2,0,1,6,1,-98,-98,2,-98,0,0,1,2,0,5,1,4,1,1,2,2,1,1,3,0,2,1,2,1,-91,-91,1,4,4,2,20,-1,0,1,1,1,1,7,2,384.53
NS11841J,-1,26,2,1,1,1,1,2,1,15,2,1,2,0,0,1,1,0,2,0,6,1,4,2,2,1,2,3,1,2,2,1,2,2,2,9,4,4,2,10,-1,2,1,1,1,2,4,3,384.6
NS25623K,42084,36,1,1,2,0,1,2,1,2,1,2,1,0,0,1,1,0,2,0,-94,1,1,2,2,1,2,3,5,2,3,2,1,-91,-91,1,4,4,2,18,1,0,1,1,1,2,4,2,384.62
NS15067V,41000,31,1,1,2,2,1,3,1,7,1,2,1,0,1,1,0,0,2,0,2,2,3,3,2,2,2,3,0,2,1,1,2,2,2,9,4,4,2,15,1,2,2,1,1,1,4,3,384.62
NS24090K,28000,35,3,1,2,1,1,2,1,-98,-98,1,-98,0,0,2,0,0,4,1,4,1,1,3,2,1,1,3,1,2,3,1,2,2,1,9,4,4,2,13,0,3,1,1,1,2,7,2,384.62
NS23049B,24000,46,1,1,2,0,1,2,1,3,1,1,1,0,0,1,0,0,2,0,3,1,1,5,2,2,1,3,1,2,2,2,1,-91,-91,1,4,4,2,13,1,0,1,1,1,1,7,2,384.62
NS14017B,22100,43,1,1,2,1,1,2,1,-98,-98,1,-98,0,1,1,0,0,5,1,2,1,1,5,2,1,2,3,0,2,1,1,2,2,2,9,4,4,2,16,1,0,1,1,1,1,2,1,384.62
NS16486M,21600,41,1,1,2,1,1,5,2,-98,-98,1,-98,0,0,1,0,0,1,1,2,6,1,-1,2,2,1,3,2,2,1,1,1,-91,-91,1,4,4,-92,9,-1,6,1,1,1,2,5,2,384.62
NS12980J,21600,36,1,1,2,0,1,2,1,15,1,-98,1,0,0,1,0,0,-98,1,2,1,2,1,2,2,-1,3,0,2,1,2,1,-91,-91,1,4,4,2,15,1,1,1,1,1,1,2,1,384.62
NS13322B,21000,38,1,1,2,1,1,1,1,-98,-98,1,-98,0,3,1,0,0,4,1,2,6,1,5,2,2,2,3,0,2,2,2,1,-91,-91,1,4,4,2,12,1,1,1,1,1,2,5,1,384.62
NS20348V,18252,40,1,1,2,2,1,4,1,19,1,2,1,0,2,1,0,0,2,0,6,7,2,0,2,2,1,3,0,2,2,2,2,1,2,9,4,4,2,17,1,3,1,1,1,1,7,2,384.62
