NSID,W1GrssyrMP,W1yschat1,W1wrk1aMP,W1condur5MP,W1hea2MP,W1NoldBroHS,W1InCarHH,W1hous12HH,W1usevcHH,W1hiqualmum,W1wrkfulldad,W1wrkfullmum,W1ch0_2HH,W1ch3_11HH,W1ch12_15HH,W1ch16_17HH,W1IndSchool,W1marstatmum,W1famtyp2,W1nssecfam,W1ethgrpYP,W1heposs9YP,W1hwndayYP,W1truantYP,W1alceverYP,W1bulrc,W1disabYP,W2ghq12scr,W2disc1YP,W2depressYP,W6JobYP,W6UnivYP,W6EducYP,W6Apprent1YP,W6acqno,W6gcse,W6als,W6OwnchiDV,W6DebtattYP,W8DDEGP,W8DGHQSC,W8DAGEYCH,W8DMARSTAT,W8DACTIVITYC,W8DWRK,W8CMSEX,W8TENURE,W8QMAFI,W8GROW,W8PUSA
NS22662A,-91,44,10,1,1,1,1,2,1,7,1,3,0,1,1,0,0,2,0,1,1,1,4,2,2,-1,3,1,2,1,2,1,-91,-91,1,4,4,2,15,1,0,-1,1,1,1,2,4,2,1057.69,3500
NS13267H,6136,46,2,1,1,1,1,2,1,15,1,2,0,1,2,0,0,2,0,1,1,1,4,2,2,2,2,1,2,2,2,1,-91,-91,1,4,4,2,13,1,0,-1,1,1,1,2,4,1,923.79,3600
NS24637N,-3,41,4,1,2,1,1,2,1,7,1,2,0,0,2,0,1,2,0,1,1,1,5,2,1,2,3,1,2,2,2,1,-91,-91,1,4,4,2,15,-1,4,-1,1,1,1,2,4,2,438.8,3750
NS17168P,10920,39,1,1,1,2,1,2,1,2,1,1,0,1,2,0,0,2,0,1,1,1,5,2,1,2,3,2,2,1,2,1,-91,-91,1,4,4,2,13,1,2,-1,1,1,1,2,2,1,668.27,3800
NS24921T,48500,41,1,1,2,1,1,2,1,5,1,1,0,0,2,0,0,2,0,-94,1,1,3,2,1,2,3,0,2,2,2,1,-91,-91,1,4,4,2,12,1,4,-1,2,2,1,2,2,1,-1,4000
NS11039F,-91,30,10,2,1,5,1,5,2,20,3,3,1,3,2,1,0,2,0,6,5,1,3,2,2,2,3,0,2,2,2,2,2,2,3,4,1,2,17,1,0,1,2,1,1,2,2,1,326.92,4000
NS20114C,-91,35,10,1,2,3,1,2,1,7,1,3,1,2,1,0,0,2,0,2,1,1,2,2,1,1,3,0,2,2,1,1,-91,-91,1,4,4,2,16,-1,0,-1,1,1,1,2,2,1,673.08,4500
NS12290N,19500,48,1,1,2,1,1,2,1,15,1,1,0,1,1,0,0,2,0,1,1,2,4,2,1,1,3,0,2,1,1,1,-91,-91,1,4,4,2,14,-1,1,-1,1,1,1,2,4,1,538.46,4960
NS11550W,-91,42,8,2,1,2,1,2,2,20,3,3,0,2,1,0,0,2,0,7,4,-1,5,2,2,2,3,2,1,4,1,2,2,2,9,4,4,2,9,-1,2,-1,2,4,2,2,2,1,-1,5802
NS12580A,12968.8,38,2,1,2,0,1,2,1,8,1,2,0,0,1,1,0,2,0,4,1,3,4,2,1,2,3,0,2,1,1,1,-91,-91,1,4,4,2,18,-1,0,0,2,1,1,2,4,3,224.02,6000
